title,description,images,price
BOOSTER HYALU-A/Si PLUS - BIO FILLER,"Nuestro Booster HYALU-A/Si PLUS - Bio Filler brinda acción antiage y una potente humectación 100 % oil-free. Posee efecto filler que genera un efecto de relleno tópico y suaviza líneas. Además, estabiliza la arquitectura dérmica y mejora turgencia, firmeza y elasticidad. Apto para todo tipo de piel.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21400.jpg?v=1670011607,2360.00
BOOSTER VIT-C/FE ANTI-STRESS,"El Booster VIT-C/FE GSH supera lo esperado de un serum de vitamina C pura. Neutraliza el daño oxidativo, ilumina pieles con aspecto cansado y empareja el tono.  Su fórmula combina el blend clásico de eficacia comprobada: <vitamina C pura al 15 % + vitamina E + ácido ferúlico> con el poder del glutatión. La vitamina C se oxida y pierde eficacia. En la piel, el glutatión la recicla y la activa nuevamente. Ese proceso de reciclado fue recreado en este producto biomimetizando lo que sucede en la piel. Es decir, imita su funcionamiento para garantizar una acción optimizada: vitamina C pura y eficaz por más tiempo.  Sin colorantes ni fragancias. Apto para todo tipo de piel. pH 3,5 para potenciar penetrancia.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21399_62500f1b-4dfc-4604-87aa-b056d6fc116d.jpg?v=1670011560,1760.00
TAN BOOSTER,"TAN BOOSTER, un booster de tratamiento, hidratante y reparador con efecto autobronceante progresivo. Una propuesta potenciada en el mundo de los autobronceantes.  Es una fórmula concentrada para mezclar con tu hidratante facial. Combina los activos autobronceantes <DHA>  y <Eritrulosa> con un postbiótico <Bacillus ferment> con efecto filler y extractos botánicos hidratantes y antioxidantes. Tan Booster cuenta con tecnología Matrix-3D que previene el cracking y la descamación, permitiendo un bronceado progesivo, sutil y parejo.  Sin colorantes ni fragancias. Apto para todo tipo de piel. No deja la piel naranja. No mancha la ropa.  No comedogénico y 100% oil-free.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21415.jpg?v=1670011602,1800.00
LIMPIADOR,"Nuestro limpiador con tensioactivos no iónicos limpia respetando la barrera de la piel. Es apto para todo tipo de piel, su pH fisiológico es de 5,5. Su textura es de gel-emulsión, de fácil aplicación y enjuague. Usar a la mañana y a la noche para lucir una piel limpia y radiante.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21346.jpg?v=1670011563,900.00
EMULSIÓN HIDRATANTE,Nuestra Emulsión Hidratante aporta hidratación de larga duración con una textura sedosa y de rápida absorción. Fortalece la barrera de la piel.,https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21356.jpg?v=1670011584,1650.00
ULTRA-B,"Nuestra Hidratante Ultra-B es una emulsión de textura liviana y de rápida absorción, que brinda hidratanción de larga duración.Tiene protección FPS 30 UVB + UVA y protege contra la luz azul emitida por las pantallas. Es anti-polución, tiene acción anti-estrés y antioxidante (protección IR). Apto para todo tipo de piel.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21362.jpg?v=1670011576,2500.00
GIFT CARD TCL,"Nuestras GIFT CARDS pueden ser adquiridas por montos de $1.500, $3.000 y $5.000 únicamente por nuestra Tienda Online. Al adquirir una, te enviamos a ti un voucher digital que podés reenviar al beneficiario del regalo cuando sea el momento indicado.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/GiftCard_58505f4e-80e0-4fa5-ac89-989ffd515357.jpg?v=1677705413,1500.00
BOOSTER MUNAP-18,"El Booster MUNAP-18 es la alternativa cosmética más eficaz del mercado para tratar líneas de expresión.   Revierte, suaviza y previene líneas de expresión mediante una fórmula que combina un neuropéptido efecto botulínico <Acetil Hexapéptido-1> con un postbiótico <Bacillus ferment> de efecto tensor inmediato.  Las líneas de expresión se forman cuando contraemos muchas veces los músculos de la cara. El neuropéptido de MUNAP-18 compite con una proteína interna, Munc-18, fundamental para la contracción. Así, logra relajar el músculo y las líneas de expresión se suavizan. A su vez, el fermento biotecnológico crea un efecto tensor inmediato y visible.  Sin colorantes ni fragancias. Apto para todo tipo de piel.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21408.jpg?v=1670011591,2780.00
EXFOLIANTE MB,"Blend ultra gentil, hidratante y anti-glicación. El Exfoliante Renovador MB es un producto multifunción: exfolia suave y progresivamente,  homogeneiza el tono y la textura de la piel. Además ilumina, humecta, repara signos de envejecimiento y acción prebiótica. Es bien tolerado por pieles ultra sensibles. La fórmula combina <ácido maltobiónico> al 8 %, un polihidroxiácido biónico de última generación que tiene alta tolerancia en la piel, con un péptido prebiótico <acetil heptapéptido-4> que fortalece la microbiota cutánea y un combo de extractos botánicos <malva, manzanilla y aloe> con acción descongestiva y antiirritante. Sin fragancia, sin alcohol.  pH 3,5",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21378.jpg?v=1670011593,1300.00
BOOSTER HYALU-A/Si,"Boost de hidratación de alta eficacia para todo tipo de piel. El Booster HYALU-A/Si es un concentrado de ácido hialurónico y silicio, con estudios que comprueban su capacidad hidratante superficial y profunda. Su acción altamente humectante oil-free es ideal para todo tipo de pieles deshidratadas (secas, mixtas y grasas). Suaviza líneas finas, y mejora la turgencia y la elasticidad de la piel. Su fórmula tiene <ácido hialurónico> de peso molecular medio y bajo combinado con un carrier que potencia su penetrancia hasta las capas más profundas de la piel.  Además, incorpora <silicio orgánico>, un componente esencial que se pierde con el envejecimiento y que es fundamental para mantener el metabolismo y la arquitectura de la piel. Sin alcohol ni fragancias. pH 5.5",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21397.jpg?v=1670011598,1760.00
EXFOLIANTE GA,"El Exfoliante Renovador GA homogeneiza la textura de la piel, suaviza manchas, repara signos de envejecimiento y aporta gran luminosidad. La fórmula combina los beneficios del <ácido glicólico> al 8 % con un blend de extractos botánicos <aloe, caléndula, malva, manzanilla y té verde> antioxidantes y calmantes, que atenúan el potencial de irritación del ácido y mejoran la tolerancia al exfoliante.  Equilibrio perfecto entre potencia y usabilidad para uso diario. Sin fragancia, alcohol ni colorantes. No apto para pieles sensibles. pH 3,5 para potenciar penetrancia.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21364.jpg?v=1670011550,750.00
EXFOLIANTE SA,"Blend específico para piel grasa y prevención de acné. El Exfoliante Renovador SA homogeneiza textura, balancea pieles grasas, beneficia a pieles con tendencia acneica, mejora la apariencia de poros dilatados y previene la aparición de puntos negros. Es apto para todo tipo de piel. Recomendado para pieles grasas o con tendencia acneica.  La fórmula combina los beneficios de <ácido salicílico> al 2 % y <ácido fítico> con un postbiótico seborregulador <pseudoalteromonas ferment extract> y 4 extractos botánicos <manzanilla, malva, aloe y té verde> con acción anti-irritante y calmante.  Sin fragancia, sin alcohol. No comedogénico.  pH: 4",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21384.jpg?v=1670011555,750.00
BOOSTER RETIN-E,"Tratamiento potente anti envejecimiento.  El Booster RETIN-E/L es ideal para quienes buscan mejorar el aspecto de la piel con un objetivo antiage: aumenta la síntesis de colágeno, elastina y ácido hialurónico, mejorando firmeza, elasticidad y reduciendo la apariencia de líneas y arrugas. Homogeniza el tono y la textura de la piel. Un booster, tres versiones: una fórmula que combina <retinol> (0.3 %, 0.5 % o 1 %) con <escualano vegetal>, un aceite biomimético que restaura e hidrata, disminuye el potencial de irritación y mejora la tolerancia de la piel.  La versión con 0.3 % de retinol incorpora un análogo biotecnológico de la vitamina E, que potencia sus beneficios gracias a su alto poder antioxidante.               Sin fragancia, sin alcohol.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21411.jpg?v=1670011565,2000.00
BOOSTER VIT-B3/Zn2+,"Nuestro Booster VIT-B3/Zn2+ es multifunción. La niacinamida actúa a través de diversos mecanismos, logrando una mejora visible en la textura y el aspecto global de la piel. Es seborregulador, suaviza manchas y posee efecto antioxidante y antiglicación, por lo que previene el envejecimiento prematuro. Además tiene funciones hidratantes, calmantes y reparadoras, lo que beneficia a pieles sensibles e irritadas.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21401.jpg?v=1670011573,1760.00
EXFOLIANTE MA,"El Exfoliante Renovador MA homogeneiza la textura de la piel, suaviza manchas, repara signos de envejecimiento y mejora acné adulto.  Es apto para todo tipo de pieles, incluso sensibles.  La fórmula combina los beneficios de dos ácidos: <ácido mandélico> al 8 % y <gluconolactona> al 2 %, con un péptido prebiótico <acetil heptapéptido-4> que balancea la microbiota de la piel y dos extractos botánicos <malva y aloe vera> con acción calmante. Equilibrio perfecto entre gentileza y efectividad para uso diario. Sin fragancia, sin alcohol, ni colorantes. Apto para todo tipo de piel. pH 3,5 para potenciar penetrancia.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21369.jpg?v=1670011577,750.00
BOOSTER RÓSEA-3,"Alivio y protección para pieles sensibles y con rosácea. El Booster ROSEA-3 es el complemento ideal para pieles sensibles o con rosácea. Mejora la apariencia de rojeces y reduce la sensación de molestia y picor. A la vez, fortalece la barrera de la piel, balancea la flora cutánea, calma y descongestiona.  La fórmula combina tres péptidos potentes que aportan una doble acción: neuropéptido aliviador de picazón <acetil hexapéptido-49>, péptido anti-rojeces <acetil tetrapéptido-40> y péptido prebiótico <acetil heptapéptido-4>. Con el primer uso alivia inmediatamente la sensación de ardor. Con el uso regular reduce las rojeces y la reactividad de la piel. Así, ayuda a disminuir el malestar propio de pieles sensibles o con rosácea. Sin fragancia, sin alcohol.  pH 5.5",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21419.jpg?v=1670011581,2000.00
BOOSTER DETOIL,"Nuestro Booster Detoil es un aceite seco de rápida absorción, no comedogénico, de alto poder hidratante, emoliente y reparador. Con activos biofuncionales preventivos que aumentan los recursos de defensa, antioxidantes y detox de la piel. Calma y restaura pieles secas y sensibles, ilumina, suaviza y mejora elasticidad. Apto para todo tipo de piel.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21396.jpg?v=1670011589,1600.00
